ID,Name,SMILES,target_variable
44,Acid Red 4,COC1=C(C=CC=C1)\N=N\C1=C(O)C2=C(C=CC=C2)C(=C1)S(O)(=O)=O,5.0
45,Acid Red 5,COC1=C(C=CC=C1)\N=N\C1=C(O)C2=C(C=C(C=C2)S(O)(=O)=O)C=C1S(O)(=O)=O,4.0
46,Acid Red 7,CC(=O)NC1=CC=C(C=C1)\N=N\C1=C(O)C2=C(C=C(C=C2)S(O)(=O)=O)C=C1S(O)(=O)=O,4.0
47,Acid Red 8,CC1=CC(C)=C(C=C1)\N=N\C1=C(O)C2=C(C=C(C=C2)S(O)(=O)=O)C=C1S(O)(=O)=O,5.0
48,Acid Red 10,OC1=C(\N=N\C2=CC3=C(C=C2)C=C(C=C3)S(O)(=O)=O)C2=C(C=CC=C2)C=C1,3.0
49,Acid Red 12,OC1=C2C=CC=C(C2=CC=C1\N=N\C1=C2C=CC=CC2=C(C=C1)S(O)(=O)=O)S(O)(=O)=O,3.0
50,Acid Red 13,OC1=C(\N=N\C2=CC=C(C3=C2C=CC=C3)S(O)(=O)=O)C2=C(C=C1)C=C(C=C2)S(O)(=O)=O,3.0
51,Acid Red 14,OC1=C2C=CC=CC2=C(C=C1\N=N\C1=C2C=CC=CC2=C(C=C1)S(O)(=O)=O)S(O)(=O)=O,3.0
53,Acid Red 17,OC1=C(\N=N\C2=CC=CC3=C2C=CC=C3)C2=C(C=C(C=C2)S(O)(=O)=O)C=C1S(O)(=O)=O,3.0
54,Acid Red 18,OC1=C(\N=N\C2=CC=C(C3=C2C=CC=C3)S(O)(=O)=O)C2=C(C=C1)C=C(C=C2S(O)(=O)=O)S(O)(=O)=O,4.0
55,Acid Red 20,OC1=C(C=CC2=C1C=CC=C2S(O)(=O)=O)\N=N\C1=CC=CC2=C1C=CC=C2,3.0
57,Acid Red 22,COC1=C(C=C(C)C=C1)\N=N\C1=C(O)C2=C(C=CC(=C2)S(O)(=O)=O)C=C1S(O)(=O)=O,4.0
58,Acid Red 23,CC(=O)NC1=CC=C(C=C1)\N=N\C1=C(O)C(=CC2=C1C=CC(=C2)S(O)(=O)=O)S(O)(=O)=O,3.0
59,Acid Red 24,CC1=CC=CC=C1\N=N\C1=C(O)C(=CC2=C1C=CC(=C2)S(O)(=O)=O)S(O)(=O)=O,1.5
60,Acid Red 25,OC1=C(\N=N\C2=CC=C(C3=C2C=CC=C3)S(O)(=O)=O)C2=C(C=CC=C2S(O)(=O)=O)C=C1,3.5
61,Acid Red 26,CC1=CC=C(\N=N\C2=C(O)C(=CC3=C2C=CC(=C3)S(O)(=O)=O)S(O)(=O)=O)C(C)=C1,3.0
62,Acid Red 27,OC1=C(\N=N\C2=CC=C(C3=C2C=CC=C3)S(O)(=O)=O)C2=C(C=C(C=C2)S(O)(=O)=O)C=C1S(O)(=O)=O,3.0
63,Acid Red 29,OC1=CC(=CC2=C1C(O)=C(\N=N\C1=CC=CC=C1)C(=C2)S(O)(=O)=O)S(O)(=O)=O,4.5
64,Acid Red 30,CC(=O)NC1=CC(\N=N\C2=C(N)C=CC3=C2C(O)=CC(=C3)S(O)(=O)=O)=C(C=C1)S(O)(=O)=O,6.0
65,Acid Red 31,OC1=CC=CC2=C1C(O)=C(C=C2S(O)(=O)=O)\N=N\C1=CC=C(C=C1)S(O)(=O)=O,4.0
66,Acid Red 32,CCN(C1=CC=CC=C1)S(=O)(=O)C1=CC(NC(C)=O)=CC=C1\N=N\C1=C(N)C=CC2=C1C(O)=CC(=C2)S(O)(=O)=O,6.0
67,Acid Red 33,NC1=CC(=CC2=C1C(O)=C(\N=N\C1=CC=CC=C1)C(=C2)S(O)(=O)=O)S(O)(=O)=O,2.0
68,Acid Red 34,NC1=CC=C(\N=N\C2=C(N)C=CC3=C2C(O)=CC(=C3)S(O)(=O)=O)C(=C1)S(O)(=O)=O,6.5
69,Acid Red 35,CC(=O)NC1=CC(=CC2=C1C(O)=C(\N=N\C1=C(C)C=CC=C1)C(=C2)S(O)(=O)=O)S(O)(=O)=O,4.5
70,Acid Red 37,CC(=O)NC1=CC=C(\N=N\C2=C(N)C=CC3=C2C(O)=CC(=C3)S(O)(=O)=O)C(=C1)S(O)(=O)=O,5.5
71,Acid Red 41,OC1=C(\N=N\C2=C3C=CC=CC3=C(C=C2)S(O)(=O)=O)C2=C(C=C(C=C2C=C1S(O)(=O)=O)S(O)(=O)=O)S(O)(=O)=O,4.5
72,Acid Red 42,NC1=C(\N=N\C2=CC=CC=C2S(=O)(=O)C2=CC=CC=C2)C2=C(C=C1)C=C(C=C2O)S(O)(=O)=O,6.0
73,Acid Red 44,OC1=C(\N=N\C2=CC=CC3=C2C=CC=C3)C2=C(C=C1)C=C(C=C2S(O)(=O)=O)S(O)(=O)=O,3.0
74,Acid Red 47,CC1=CC(=CC=C1\N=N\C1=C(O)C=CC2=C1C(=CC(=C2)S(O)(=O)=O)S(O)(=O)=O)\N=N\C1=CC2=C(C=C1)C=C(C=C2S(O)(=O)=O)S(O)(=O)=O,4.0
75,Acid Red 54,NC1=C(\N=N\C2=CC=CC=C2S(O)(=O)=O)C2=C(C=C1)C=C(C=C2O)S(O)(=O)=O,6.0
76,Acid Red 57,CCN(C1=CC=CC=C1)S(=O)(=O)C1=CC=CC=C1\N=N\C1=C(N)C=CC2=C1C(O)=CC(=C2)S(O)(=O)=O,5.5
