ID,Name,SMILES,target_variable
152,Acid Black 26,OC1=C(\N=N\C2=CC=C(\N=N\C3=CC(=C(NC4=CC=CC=C4)C=C3)S(O)(=O)=O)C3=C2C=CC=C3)C2=C(C=C1)C=C(C=C2)S(O)(=O)=O,4.0
153,Acid Black 31,COC1=CC(=CC=C1\N=N\C1=C2C(O)=CC(=CC2=CC=C1NC1=CC=CC=C1)S(O)(=O)=O)[N+]([O-])=O,6.0
154,Acid Black 41,NC1=C2C(O)=C(\N=N\C3=CC=C(C=C3)S(O)(=O)=O)C(=CC2=CC(=C1\N=N\C1=CC=C(C=C1)[N+]([O-])=O)S(O)(=O)=O)S(O)(=O)=O,5.0
155,Acid Yellow 4,CC1=NN(C(O)=C1\N=N\C1=CC=C(C=C1)S(O)(=O)=O)C1=CC=CC=C1,5.5
156,Acid Yellow 11,CC1=NN(C(O)=C1\N=N\C1=CC=CC=C1)C1=CC=C(C=C1)S(O)(=O)=O,5.5
157,Acid Yellow 12,CC1=NN(C(O)=C1\N=N\C1=CC=C(C)C=C1)C1=CC=C(C=C1)S(O)(=O)=O,5.0
158,Acid Yellow 13,CC1=NN(C(O)=C1\N=N\C1=CC=CC=C1S(O)(=O)=O)C1=CC=CC=C1S(O)(=O)=O,6.0
159,Acid Yellow 14,CC1=NN(C(O)=C1\N=N\C1=CC=CC=C1)C1=CC(Cl)=C(C=C1Cl)S(O)(=O)=O,6.0
160,Acid Yellow 17,CC1=NN(C(O)=C1\N=N\C1=CC=C(C=C1)S(O)(=O)=O)C1=CC(Cl)=C(C=C1Cl)S(O)(=O)=O,7.0
161,Acid Yellow 18,CC1=NN(C(O)=C1\N=N\C1=CC=C(C=C1)S(O)(=O)=O)C1=C(C)C=C(C=C1Cl)S(O)(=O)=O,6.0
162,Acid Yellow 19,CC1=NN(C(O)=C1\N=N\C1=CC=C2C=CC=CC2=C1S(O)(=O)=O)C1=C(Cl)C=C(C(Cl)=C1)S(O)(=O)=O,5.0
163,Acid Yellow 23,OC(=O)C1=NN(C(O)=C1\N=N\C1=CC=C(C=C1)S(O)(=O)=O)C1=CC=C(C=C1)S(O)(=O)=O,4.0
164,Acid Yellow 25,CC1=NN(C(O)=C1\N=N\C1=CC(=C(C)C=C1)S(=O)(=O)NC1=CC=CC=C1)C1=CC=C(C=C1)S(O)(=O)=O,5.5
165,Acid Yellow 27,CC1=NN(C(C(O)=O)=C1\N=N\C1=CC=CC=C1)C1=CC=C(C=C1)S(O)(=O)=O,4.0
166,Acid Yellow 29,CC1=NN(C(O)=C1\N=N\C1=CC(=CC=C1)S(=O)(=O)NC1=CC=CC=C1)C1=CC(=CC=C1Cl)S(O)(=O)=O,6.5
167,Acid Yellow 34,CC1=NN(C(O)=C1\N=N\C1=CC=CC=C1)C1=CC(=CC=C1Cl)S(O)(=O)=O,7.0
168,Acid Yellow 40,CC1=NN(C(O)=C1\N=N\C1=CC=C(OS(=O)(=O)C2=CC=C(C)C=C2)C=C1)C1=C(C=C(Cl)C=C1)S(O)(=O)=O,4.5
169,Acid Yellow 41,CC1=NN(C(O)=C1\N=N\C1=CC=CC=C1Cl)C1=C(Cl)C=C(C=C1C)S(O)(=O)=O,6.0
170,Acid Yellow 42,CC1=NC(\N=N\C2=CC(=C(C=C2)C2=CC=C(C=C2S(O)(=O)=O)\N=N\C2=C(O)N(N=C2C)C2=CC=CC=C2)S(O)(=O)=O)=C(O)N1C1=CC=CC=C1,4.5
171,Acid Yellow 49,CC1=NN(C(O)=C1\N=N\C1=C(Cl)C=C(C(Cl)=C1)S(O)(=O)=O)C1=CC=CC=C1,5.5
172,Acid Yellow 53,CCN(C(C)=O)C1=CC(\N=N\C2=C(O)N(N=C2C)C2=C(Cl)C=C(C=C2)S(O)(=O)=O)=C(C)C=C1,4.5
173,Acid Yellow 55,CC1=NN(C(O)=C1\N=N\C1=CC=C2C=CC=CC2=C1S(O)(=O)=O)C1=C(Cl)C=C(C=C1C)S(O)(=O)=O,4.5
174,Acid Yellow 56,CC1=NN(C(O)=C1\N=N\C1=CC=C(C=C1)C(C1=CC=CC=C1)C1=CC=C(C=C1)\N=N\C1=C(O)N(N=C1C)C1=C(Cl)C=C(C=C1C)S(O)(=O)=O)C1=C(Cl)C=C(C=C1C)S(O)(=O)=O,4.5
175,Acid Yellow 61,CCN(C1=CC=CC=C1)S(=O)(=O)C1=C(C=CC=C1)\N=N\C1=C(O)N(N=C1C)C1=CC(Cl)=C(C=C1Cl)S(O)(=O)=O,5.5
176,Acid Yellow 68,CC1=NN(C(O)=C1\N=N\C1=CC=C(C(C)=C1)C1=C(C)C=C(C=C1)\N=N\C1=CC=C(OS(=O)(=O)C2=CC=CC=C2)C=C1)C1=CC(=CC=C1Cl)S(O)(=O)=O,4.5
177,Acid Yellow 72,CCCCCCCCCCCCC1=CC=C(C=C1)\N=N\C1=C(O)N(N=C1C)C1=CC(Cl)=C(C=C1Cl)S(O)(=O)=O,4.5
178,Acid Yellow 76,CC1=NN(C(O)=C1\N=N\C1=CC=C(OS(=O)(=O)C2=CC=C(C)C=C2)C=C1)C1=CC=C(C=C1)S(O)(=O)=O,5.0
179,Acid Yellow 79,CC1=NN(C(O)=C1\N=N\C1=CC=C(C=C1S(=O)(=O)OC1=CC=C(C=C1)C(C)(C)C1=CC=C(OS(=O)(=O)C2=CC(=CC=C2\N=N\C2=C(O)N(N=C2C)C2=CC=C(C=C2)S(O)(=O)=O)S(O)(=O)=O)C=C1)S(O)(=O)=O)C1=CC=C(C=C1)S(O)(=O)=O,6.0
180,Acid Yellow 117,C.CC1=NN(C(O)=C1\N=N\C1=CC=C(C=C1)C(C1=CC=CC=C1)C1=CC=C(C=C1)\N=N\C1=C(O)N(N=C1C)C1=CC=C(C=C1)S(O)(=O)=O)C1=CC=C(C=C1)S(O)(=O)=O,4.0
181,Acid Yellow 121,CC1=NN(C(O)=C1\N=N\C1=CC=CC=C1C(O)=O)C1=CC=CC=C1,6.5
182,Acid Yellow 122,OC1=C(\N=N\C2=CC=CC=C2Cl)C(=NN1C1=C(C=CC=C1)S(O)(=O)=O)C1=CC=CC=C1,5.5
183,Acid Yellow 127,CN(C1=CC=CC=C1)C1=NC(Cl)=NC(NC2=CC=C(C(=C2)\N=N\C2=C(O)N(N=C2C)C2=C(Cl)C=CC=C2)S(O)(=O)=O)=N1,6.0
184,Acid Yellow 131,CCCCOC1=CC(=CC=C1\N=N\C1=C(O)N(N=C1C)C1=CC(=CC=C1Cl)S(O)(=O)=O)C(O)=O,6.0
186,Acid Yellow 158,CC1=NN(C(O)=C1\N=N/C1=C(C=CC(=C1)C1=NC(NC2=CC=CC(=C2)S(O)(=O)=O)=NC(O)=N1)S(O)(=O)=O)C1=CC(Cl)=C(C=C1Cl)S(O)(=O)=O,6.0
187,Acid Yellow 172,CC1=NN(C(O)=C1\N=N\C1=CC=CC(=C1)S(=O)(=O)NC1=CC=CC=C1)C1=CC(Cl)=C(C=C1Cl)S(O)(=O)=O,6.5
189,Acid Orange 63,CC1=NN(C(O)=C1\N=N\C1=CC=C(C=C1)C1=CC(=C(C=C1)\N=N\C1=CC=C(OS(=O)(=O)C2=CC=C(C)C=C2)C=C1)S(O)(=O)=O)C1=CC=C(C=C1)S(O)(=O)=O,5.0
191,Acid Orange 165,COC1=CC(\N=N\C2=C(O)NN=C2C)=C(OC)C=C1\N=N\C1=CC(=CC=C1)S(O)(=O)=O,5.5
